Datetime,Text
2022-12-30 01:36:40+00:00,"Brofur Jaspy resting.

Henlooooo Palzzzzzz

#dogetrend #dogsoftwitter #puppy #cavoodle https://t.co/QLwe6ONk5j"
2022-12-29 21:56:42+00:00,"#littleluna #cavoodle #fur #pet #cute #family #dog #friday #morning @ Artarmon, New South Wales, Australia https://t.co/I8qnyDHxnq"
2022-12-22 23:41:48+00:00,These adorable Cavoodles told me today there’s only 2 days till Christmas!!! #billspetparadisebathurst #billspetparadise #foryou #foryoupage #petshop #cute #pet #shorts #christmas #christmasspirit #reels #puppy #dogs #cavoodle #cavoodles https://t.co/NnNCN3GObi
2022-12-20 08:17:37+00:00,"In the office today with Child, our Global Director of Cuddles. A very tough task master! #lifewithliza #mumlife #sheworkshardforthemoney #cavoodle #melbourne https://t.co/BHoluclLHS"
2022-12-19 11:38:55+00:00,Good to be home and reunited with my boy Rusty #cavoodle https://t.co/bvVFM0xOB6
2022-12-17 03:48:41+00:00,@Helen_Conway1 Would you like us to bring our doggies too ? #cavoodle #NorthShoreVotes #Vote1Helen #nswpol
2022-12-12 07:03:55+00:00,#PublicArt #TreeCycle by Graham Chalcroft (2016). #Ciara #cavoodle #InnerWestDogs #HawthornCanal #Greenway #Haberfield #Sydney near #BayRun #DogsOfTwitter #DogWalk 🐾🐕‍🦺👣🙌😊 #ThisGirlCan https://t.co/JL8Kjh6CZP
2022-12-12 06:58:01+00:00,"A loving family setting for Oscar the #cavoodle was ripped apart by a custody battle between his three ""parents"" broadcast on A Current Affair and fought in NSW courts. Via @AAPNewswire: https://t.co/XhWxve58f6"
2022-12-10 21:06:46+00:00,I've donated the $ of my sunday puppaccino to support student volunteers @brisbaneSHS for an inclusive camp experience for kids living with #disability + providing respite to families.  Gold star if you can donate your morning cup too #cavoodle #brisbane https://t.co/jx9mXVtzGZ
2022-12-10 01:57:01+00:00,"Morning… 

#oodle #cavoodle #puppy https://t.co/kL6HWDnsBi"
2022-12-10 01:29:05+00:00,"Fun facts about our #DigitalNote #XDN #Cavoodle Pups!

Are Cavoodles Mutts?
Cavoodles are a cross between a Cavalier King Charles Spaniel and a Poodle. 

Bonus 40,000 #2XDN for each pup bought, + free gifts, perks...

This pup has a rare title trait - Buy https://t.co/fT77Aih0I5"
2022-12-08 01:45:01+00:00,FRIDAY is when Xmas orders from https://t.co/Lso5yZvxIa need to be in for normal post - after that it's Express Post or Cavoodle Courier. #cartoons #cavoodle #cavoodlecourier https://t.co/AbryRft6SJ
2022-12-08 01:37:42+00:00,"Thanks for coming today Ginger~

#SeaAndDogsGroomingSalon 
#AucklandDogGroomer 
#Cavoodle @Auckland, New Zealand https://t.co/QBl9Gixf1G"
2022-12-06 10:34:17+00:00,“There is nothing more musical than a sunset.”🌅🙏 #sunset #cavoodle #himalayanseeds #Australia https://t.co/6JMDRT9C9s
2022-12-05 05:18:37+00:00,This little puppy dog is in hospital. It's only been a day but I'm lost without him. I hope i get him home and he stays around for many years to come. #doggy #Puppydog #cavoodle #bestfriend #artcritic https://t.co/EAw9KQUUnk
2022-12-03 01:28:29+00:00,"Puppy School graduation | Quakers Hill | group 1 ❤
   
🎓 Cypher
🎓 Harlow
🎓 Bear
   
___
#pupswithpawsonality #puppyschool #puppypreschool #graduation #pawsonality #quakershillvet #PAW50N #labrador #cavoodle #bulldog https://t.co/yJNROABQ5m"
2022-12-02 19:35:46+00:00,"Morning wake ups at the Milburns...Dave left for the @burleighmarket earlier this morning..
Have a great wk end everyone 🐾😻🐾🐶
#britishshorthair
#cavoodle #cavilerkingcharles #instphotos #instpet #weekendvibes https://t.co/85HVr3RD1n"
2022-12-02 06:59:31+00:00,"Seriously exhausting when you chase butterflies, ride on lawn mowers and patrol the perimeter of a three acre garden. 🤣🐾🐾 #cobberdog #cavoodle https://t.co/wIpaJnkDZ3"
2022-11-29 17:28:37+00:00,📷 Julia Entrup. ~ #cavapoo #cavoodle #dog https://t.co/y2nSczTZ8a
2022-11-28 07:26:46+00:00,"Say hello to our recently adopted Cavoodle, Reya ❤️
Our bundle of joy, full of energy (more than me 😅) and first child 🐶
Just waiting for her last vaccine for complete freedom!
#cavoodle #dog #reyaofsunshine https://t.co/pFlszmUuNl"
2022-11-27 09:48:32+00:00,"Buy your XDN #Cavoodle pup here:
https://t.co/9CM6HTBEjJ

#Rewards

50 unique likes, random user will get tipped 100 XDN

75 unique likes, there will be rain of 750XDN

100 unique likes, there will be thunder of 1000XDN

https://t.co/SQzh2T2pTQ"
2022-11-27 05:30:46+00:00,"A cute lil napping cavoodle named Toby for some serotonin on the TL. I think he loves his shark bed 😍

#cavoodle #DogsOnTwitter #DogsofTwittter #Dog https://t.co/DB6yKdWwgQ"
2022-11-27 03:05:11+00:00,"Happy weekend!
#cavoodle #cavapoo #daycare #cuteness @ Sopra Ginza https://t.co/jcC2lYmkhf"
2022-11-26 02:38:51+00:00,Our state is at the polls - voting #oivey #ong #vote #coco #ruby @cavoodlesofmelbourne #cavoodle #dogs #dog @dogsofinstagram @dogslifemagazine @talkingdogsofig #melbourne https://t.co/52oXSL3OIq
2022-11-25 10:15:19+00:00,My new dog! https://t.co/53SBc38wmF via @YouTube #dogs #doglovers #cavoodle
2022-11-25 08:27:20+00:00,Child wishing her Tata @robynsseasonalkitchen a very happy birthday even though the fun Aunty is in France! Beret and cranky face says it all! #lifewithliza #mumlife #cavoodle #birthdaylove https://t.co/J55hVZwiU1
2022-11-23 10:38:41+00:00,"Good morning, good morning. 

Very wet &amp; dark earlier this morning but fortunately the sun has come out &amp; the clouds almost gone. 🤞🤞

Our #cavoodle puppy 🐶 is enjoying the changing view! 

What are you up to today? 

I’m starting the outline of my new book! Wish me luck! https://t.co/RAiX3k592U"
2022-11-22 03:34:49+00:00,"Bon Bon can spot a camera, his day care is making him insta famous, lol #goodboy #cavoodle #lovesit https://t.co/rfB0kH7CrY"
2022-11-18 17:42:38+00:00,"Thank you to our eager supporter, Coco of #Henley for once again wearing a reflector #Poppy during the #Remembrance period with pride!💜

Our Poppy Collectors often met her with human companion during 2022 #HenleyOnThames Community #PoppyAppeal

#Cavapoo #Cavoodle #DogsofTwittter https://t.co/kK4SiAGF2N"
2022-11-13 03:06:54+00:00,"🥰#dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife https://t.co/dB2uUSBIGL"
2022-11-12 16:46:17+00:00,"Hi everyone! It’s my pleasure to introduce you to my Cavapoo puppy! He is such an absolute delight 🥰
https://t.co/yFyxGC1hAY
#booktube #booktuber #puppy #newPuppy #cavapoo #cavoodle #youTuber"
2022-11-11 21:52:32+00:00,"woof
#cavoodle https://t.co/FXiEi6hI6l"
2022-11-11 08:33:35+00:00,Someone is loving the attention. #cavoodle #summer https://t.co/Esy6dYOlJP
2022-11-10 19:33:45+00:00,"I’m 3 today!!! Happy Birthday to me! 
.
.
.
#cavoodle #furbaby #cavoodleofinstagram #cavoodlesydney #boss #🌈 #furson #birthdayboy #🐶 @nicholsjustine https://t.co/A1Z5rp4tm9"
2022-11-09 09:10:49+00:00,"地震で飛び起きた🐶
慌てて私の膝に飛び乗りガクブル🥶
少し落ち着いたらベッドにいる👶を覗きこんでスヤスヤ眠っていることを確認し、また私の膝の上に戻る🐶（写真は昨日📷）

自分も怖いけど、弟の無事も確認するのが優しい😂💖

#キャバプー #cavapoo #cavoodle #MIX犬 #ミックス犬 #おもしろ犬 https://t.co/G693cx8pgV"
2022-11-08 23:09:53+00:00,"Unplanned photoshoot with My little mate, Peg. Not sure how impressed she was… #cavapoo #cavoodle #dogsoftwitter https://t.co/pcH1R93W4P"
2022-11-07 23:05:29+00:00,"https://t.co/Dy3HN6xlHL a cavapoo a cavoodle – 10 basics about Cavoodles | Petpawshub
#Cavapoo #Cavoodle #dogs"
2022-11-07 23:04:32+00:00,"https://t.co/TKtMeFc92M
Barking for the #Cavapoo may be like waiting for a much-wanted meal as a sign of frustration. Or it could also be connected with how glad they are, or it may be their way of expelling this power if they are easily excited. read More...
 #Cavoodle #dogs"
2022-11-07 23:01:43+00:00,"https://t.co/IiNd52MlsU
When it comes to grooming, the #Cavapoo is known to be a #high-maintenance dog breed. Their coats require more than a weekly brushing to stay in good condition. Read more... #Cavapoo #cavoodle"
2022-11-06 07:58:05+00:00,A little late but this is my new home screen. #cavoodle #Halloween https://t.co/KHywE6zsM7
2022-11-05 08:56:13+00:00,"Maple the Cavoodle.

미용을 많이 싫어하는 메이플...

오늘은 발톱 깍는거 빼곤 그래도 잘 참아주네... 우리 같이 성장하자꾸나~

메이플은 오늘도 이모에게 흔적을 남겨주셨음.. ^.*

#SeaAndDogsGroomingSalon 
#AucklandDogGroomer 
#Cavoodle @Auckland, New Zealand https://t.co/pkQT773GBQ"
2022-11-04 11:59:03+00:00,My new #cavoodle puppy is enjoying dinner https://t.co/pse7HYZ6lx
2022-11-04 11:23:34+00:00,"🥰#dogsoftwitter, #cavoodle, #dogs, #puppy, #cavapoo, #dogslife https://t.co/tKhoiE3mWy"
2022-11-03 14:10:27+00:00,"#sendyourprays #mylittlemateandbuddy #cavoodle #allsaidinthestory
♥️😘😔🤞🐶🙏 https://t.co/Ii5f31EYx1"
2022-11-03 14:09:56+00:00,"#sendyourprays #mylittlemateandbuddy #cavoodle #allsaidinthestory
♥️😘😔🤞🐶🙏 https://t.co/9J2g8kkGDm"
2022-11-03 01:06:54+00:00,"Welcome to the family, Richie! 🐶❤️ 

#cavoodle https://t.co/uCl8xmXoDE"
2022-11-02 04:00:14+00:00,"My little sidekick! Yep, Biscuit sure is a cutie!!  You'll find him taking long naps under my desk while i work, or jumping up on my chair to keep it warm while i make a cuppa. Days are so much sweeter when you have a dog to keep you company, wouldn't you agree?

#cavoodle #cavoo https://t.co/l1c1egki5x"
2022-11-01 04:57:04+00:00,Happy Halloween 🎃 👻 #cavoodle https://t.co/3vePruxBO4
2022-10-31 05:31:21+00:00,Isn’t my Pippa just adorable?! #cavoodle #puppylove #puppy https://t.co/JPPP0Pb0F1
2022-10-29 14:02:48+00:00,"Siblings make the best friends!❤️😍🐶

📷 @itwoofs 

#dgspetproducts #cavapoo #cavoodle #teddybeardog #dirtydoormat #dogmat https://t.co/LKrjvcTiV2"
2022-10-28 01:05:50+00:00,"#Widget likes hanging out with cousin Teduardo. 
#doxie #dachshund #puppy #cavoodle #friends @ Grapevine, Texas https://t.co/MSmZEbH3VK"
2022-10-27 04:31:29+00:00,"😴💤💤💤💤💤💤
#dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife https://t.co/5YV4GvpqlR"
2022-10-24 21:00:34+00:00,"Wassup my dog is now 1 year old!!  
#cavoodle https://t.co/DbGVqAkyGC"
2022-10-24 04:03:34+00:00,"Love my girl. #Roxy
#Cavoodle #Socute https://t.co/eNUfbyV5Vu"
2022-10-23 08:07:23+00:00,My girl watching Jurassic Park Dominian... transfixed #puppy  #cavoodle https://t.co/IHwPKbYSby
2022-10-23 03:02:14+00:00,"I’m sooooo excited🎶🎶🎶🎶🥰
#dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife 

https://t.co/vz7v01ByeX"
2022-10-23 00:05:40+00:00,Me and my pup #cavoodle #coco #puppy https://t.co/0iY7SC2PMP
2022-10-21 08:22:37+00:00,"Got something to eat? #agrgoff #cavoodlegram #cavoodle #cavoodles @ Aspley, Queensland, Australia https://t.co/UntFFOSsrA"
2022-10-20 20:20:06+00:00,"Introducing Lily, the newest member of the family.  #cavoodle https://t.co/GN25gbkqWp"
2022-10-20 01:46:46+00:00,"Extra bonuses on today’s public holiday in the south of Tassie - sun, enjoying the view from our deck and getting to share it with my fur nephew. Definitely winning. #dayoff #family #sunnyday #cavoodle https://t.co/WWMVYEjeyq"
2022-10-20 01:21:14+00:00,"MORNING CATCH🎾🎾🎾🎾🎾🎾🎾
#dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife https://t.co/Kn0687rErJ"
2022-10-18 10:45:13+00:00,Poor puppy #cavoodle #desexed #coneofshame https://t.co/d7psAokArP
2022-10-16 07:45:28+00:00,"Oh. You’re here. Great. Now you’ll make me move.
.
.
#cavoodle #bedhog #fursona #😂 #🐶 #🌈 https://t.co/pAhUbpxcFd"
2022-10-14 13:52:30+00:00,Someone needs a haircut 🤣 #cavoodle #cavapoo https://t.co/ZOD5fpLRwS
2022-10-13 05:26:13+00:00,"So (said Bruce) big sis is like - ""I'm going to look at this puppy. Of course I may not buy it"". I'm like...""Uh huh, whatever you say""🤣🐶 #DogsOfTwitter #Cavoodle #Cavapoo TBC - I'll let you know! ❤️ https://t.co/ykrSQLsU5z"
2022-10-12 12:12:01+00:00,"First time teaching for agility, nice cute music reel🥰🎶🎶🎶
#dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife 

https://t.co/FmzbQspFz3"
2022-10-12 08:28:22+00:00,"Ok I am definitely ready for 2023! Finally getting me a #cavoodle puppy. 
PS: this is what he will most likely resemble once born and is 6 weeks old! https://t.co/42rpPq4Ty9"
2022-10-11 21:55:55+00:00,"My 2023 #Cavoodle calendars are back. Can be personalised to feature your own special pooch
Order 👉👉👉 https://t.co/W2Lidtdvfp
#calendar #cavoodle #ebay #2023 #cavapoo #Puppies #Christmasgiftidea https://t.co/eP4qRMxRy3"
2022-10-11 03:16:43+00:00,Happy boi! #anjing #doggy #cavoodle #cavapoo #playtime #fetch https://t.co/TRNSdMGofk
2022-10-10 04:10:01+00:00,"WHERE'S LUNA?! My daily walks aka searching for tennis ball adventures. The garden in the condo is next to the tennis court and I'm on a quest to find 1 tennis ball everyday to bring home. 
🎾🎾🎾🎾 #dogsoftwitter, #cavoodle, #dogs, #puppy, 
#cavapoo, #dogslife https://t.co/WMfMuyKlWT"
2022-10-07 00:09:12+00:00,"브리 Cavoodle..

미용후 엄마가 보내주신 사진까지~

#SeaAndDogsGrooming 
#AucklandDogGroomer 
#Cavoodle @Auckland, New Zealand https://t.co/8pMjc1eXKC"
2022-10-06 23:54:59+00:00,Meet Lulu. #cavapoo #cavoodle https://t.co/wcLn5GgzeK
